date	close
04/04/2012	1431
03/04/2012	1496
02/04/2012	1757
01/04/2012	1793
31/03/2012	1802
30/03/2012	1853
29/03/2012	2206
28/03/2012	2274
27/03/2012	2289
26/03/2012	2290
25/03/2012	1897
24/03/2012	1878
23/03/2012	1881
22/03/2012	1809
21/03/2012	1480
20/03/2012	1470
19/03/2012	1488
18/03/2012	1494
17/03/2012	1450
16/03/2012	1470
15/03/2012	1778
14/03/2012	1751
13/03/2012	1736
12/03/2012	1736
11/03/2012	1764
10/03/2012	1806
09/03/2012	1846
08/03/2012	2037
07/03/2012	2036
06/03/2012	1940
05/03/2012	2023
04/03/2012	1995
03/03/2012	2299
02/03/2012	2304
01/03/2012	1907
29/02/2012	1795
28/02/2012	1773
27/02/2012	1741
26/02/2012	1737
25/02/2012	1725
24/02/2012	1681
23/02/2012	1679
22/02/2012	1687
21/02/2012	1677
20/02/2012	1665
19/02/2012	1671
18/02/2012	1665
17/02/2012	1636
16/02/2012	1342
15/02/2012	1408
14/02/2012	2175
13/02/2012	2175
12/02/2012	2144
11/02/2012	2098
10/02/2012	2058
09/02/2012	1795
08/02/2012	1773
07/02/2012	1754
06/02/2012	1409
05/02/2012	1393
04/02/2012	1077
03/02/2012	1069
02/02/2012	1055
01/02/2012	1056
31/01/2012	1045
30/01/2012	1043
29/01/2012	1027
28/01/2012	1027
27/01/2012	1031
26/01/2012	1025
25/01/2012	1004
24/01/2012	995
23/01/2012	987
22/01/2012	973
21/01/2012	965
20/01/2012	953
19/01/2012	945
18/01/2012	869
17/01/2012	869
16/01/2012	869
15/01/2012	869
14/01/2012	869
13/01/2012	869
12/01/2012	282
11/01/2012	278
10/01/2012	271
09/01/2012	284
08/01/2012	287
07/01/2012	390
06/01/2012	498
05/01/2012	501
04/01/2012	501
03/01/2012	505
02/01/2012	514
01/01/2012	523
31/12/2011	522
30/12/2011	525
29/12/2011	530
28/12/2011	535
27/12/2011	538
26/12/2011	568
25/12/2011	790
24/12/2011	792
23/12/2011	790
22/12/2011	792
21/12/2011	800
20/12/2011	810
19/12/2011	832
18/12/2011	834
17/12/2011	854
16/12/2011	888
15/12/2011	746
14/12/2011	804
13/12/2011	802
12/12/2011	787
11/12/2011	780
10/12/2011	672
09/12/2011	560
08/12/2011	555
07/12/2011	544
06/12/2011	537
05/12/2011	526
04/12/2011	517
03/12/2011	514
02/12/2011	509
01/12/2011	541
30/11/2011	714
29/11/2011	710
28/11/2011	676
27/11/2011	450
26/11/2011	448
25/11/2011	447
24/11/2011	614
23/11/2011	606
22/11/2011	621
21/11/2011	981
20/11/2011	953
19/11/2011	985
18/11/2011	1255
17/11/2011	1850
16/11/2011	1826
15/11/2011	1766
14/11/2011	1766
13/11/2011	1766
12/11/2011	1896
11/11/2011	1914
10/11/2011	1914
09/11/2011	1915
08/11/2011	1915
07/11/2011	1915
06/11/2011	1915
05/11/2011	1915
04/11/2011	1915
03/11/2011	1913
02/11/2011	1879
01/11/2011	1778
31/10/2011	1871
30/10/2011	1871
29/10/2011	1871
28/10/2011	1871
27/10/2011	1877
26/10/2011	1706
25/10/2011	1706
24/10/2011	1681
23/10/2011	1309
22/10/2011	1309
21/10/2011	1273
20/10/2011	975
19/10/2011	332
18/10/2011	332
17/10/2011	332
16/10/2011	332
15/10/2011	332
14/10/2011	202
13/10/2011	184
12/10/2011	184
11/10/2011	183
10/10/2011	183
09/10/2011	183
08/10/2011	183
07/10/2011	183
06/10/2011	183
05/10/2011	183
04/10/2011	180
03/10/2011	100
02/10/2011	100
01/10/2011	100
30/09/2011	100
29/09/2011	100
28/09/2011	100
27/09/2011	100
26/09/2011	100
25/09/2011	100
24/09/2011	100
23/09/2011	100
22/09/2011	100
21/09/2011	100
20/09/2011	100
19/09/2011	100
18/09/2011	100
17/09/2011	100
16/09/2011	100
15/09/2011	100
14/09/2011	100
13/09/2011	100
12/09/2011	100
11/09/2011	100
10/09/2011	100
09/09/2011	100
08/09/2011	100
07/09/2011	100
06/09/2011	100
05/09/2011	100
04/09/2011	100
03/09/2011	100
02/09/2011	100
01/09/2011	100
31/08/2011	100
30/08/2011	100
29/08/2011	100
28/08/2011	100
27/08/2011	100
26/08/2011	100
25/08/2011	100
24/08/2011	100
23/08/2011	100
22/08/2011	100
21/08/2011	100
20/08/2011	100
19/08/2011	100
18/08/2011	100
17/08/2011	100
16/08/2011	100
15/08/2011	100
14/08/2011	100
13/08/2011	100
12/08/2011	0
11/08/2011	0
10/08/2011	0
09/08/2011	0
08/08/2011	0
07/08/2011	0
06/08/2011	0
05/08/2011	0
04/08/2011	0
03/08/2011	0
02/08/2011	0
01/08/2011	0
31/07/2011	0
30/07/2011	0
29/07/2011	0
28/07/2011	0
27/07/2011	0
26/07/2011	0
25/07/2011	0
24/07/2011	0
